"","Time","AgeGrpStart","ISO3_code","PopTotal"
"188",2024,95,"",2077.365
"189",2024,100,"",306.175
"190",2024,0,"",61072.309
"191",2024,5,"",68211.051
"192",2024,10,"",71264.217
"193",2024,15,"",71657.262
"194",2024,20,"",71453.644
"195",2024,25,"",74866.528
"196",2024,30,"",83533.539
"197",2024,35,"",87652.35
"198",2024,40,"",87218.229
"199",2024,45,"",85292
"200",2024,50,"",86198.63
"201",2024,55,"",84115.262
"202",2024,60,"",83256.199
"203",2024,65,"",75179.129
"204",2024,70,"",65015.811
"205",2024,75,"",49965.801
"206",2024,80,"",35019.148
"207",2024,85,"",22190.185
"208",2024,90,"",10168.048
"209",2024,95,"",2908.07
"210",2024,100,"",457.787
"211",2024,0,"",593157.613
"212",2024,5,"",613109.654
"213",2024,10,"",602806.988
"214",2024,15,"",567864.968
"215",2024,20,"",537824.928
"216",2024,25,"",517147.449
"217",2024,30,"",517653.798
"218",2024,35,"",494651.397
"219",2024,40,"",440986.753
"220",2024,45,"",389541.434
"221",2024,50,"",377561.736
"222",2024,55,"",332659.476
"223",2024,60,"",260489.509
"224",2024,65,"",215905.394
"225",2024,70,"",158101.61
"226",2024,75,"",94134.612
"227",2024,80,"",54065.675
"228",2024,85,"",26510.984
"229",2024,90,"",9056.351
"230",2024,95,"",1900.909
"231",2024,100,"",244.463
"232",2024,0,"",163762.044
"233",2024,5,"",148135.901
"234",2024,10,"",134805.95
"235",2024,15,"",122471.905
"236",2024,20,"",108346.504
"237",2024,25,"",93733.113
"238",2024,30,"",80889.154
"239",2024,35,"",69316.586
"240",2024,40,"",57973.585
"241",2024,45,"",47042.387
"242",2024,50,"",38902.341
"243",2024,55,"",31071.569
"244",2024,60,"",24392.617
"245",2024,65,"",18344.219
"246",2024,70,"",12333.441
"247",2024,75,"",7312.601
"248",2024,80,"",3656.865
"249",2024,85,"",1370.031
"250",2024,90,"",344.703
"251",2024,95,"",50.744
"252",2024,100,"",4.111
"253",2024,0,"",429395.569
"254",2024,5,"",464973.753
"255",2024,10,"",468001.038
"256",2024,15,"",445393.063
"257",2024,20,"",429478.424
"258",2024,25,"",423414.336
"259",2024,30,"",436764.644
"260",2024,35,"",425334.811
"261",2024,40,"",383013.168
"262",2024,45,"",342499.047
"263",2024,50,"",338659.395
"264",2024,55,"",301587.907
"265",2024,60,"",236096.892
"266",2024,65,"",197561.175
"267",2024,70,"",145768.169
"268",2024,75,"",86822.011
"269",2024,80,"",50408.81
"270",2024,85,"",25140.953
"271",2024,90,"",8711.648
"272",2024,95,"",1850.165
"273",2024,100,"",240.352
"274",2024,0,"",533195.182
"275",2024,5,"",524305.312
"276",2024,10,"",511683.647
"277",2024,15,"",483808.45
"278",2024,20,"",456987.185
"279",2024,25,"",430181.915
"280",2024,30,"",405713.092
"281",2024,35,"",376280.289
"282",2024,40,"",337672.652
"283",2024,45,"",291477.466
"284",2024,50,"",253949.033
"285",2024,55,"",216430.747
"286",2024,60,"",178806.812
"287",2024,65,"",137884.364
"288",2024,70,"",96252.618
"289",2024,75,"",58389.035
"290",2024,80,"",33126.157
"291",2024,85,"",15231.01
"292",2024,90,"",5045.292
"293",2024,95,"",1145.993
"294",2024,100,"",175.214
"295",2024,0,"",82175.813
"296",2024,5,"",74976.129
"297",2024,10,"",68616.371
"298",2024,15,"",61228.034
"299",2024,20,"",53407.125
"300",2024,25,"",46686.926
"301",2024,30,"",41121.651
"302",2024,35,"",35115.012
"303",2024,40,"",28576.984
"304",2024,45,"",23145.958
"305",2024,50,"",18852.622
"306",2024,55,"",15446.826
"307",2024,60,"",12608.991
"308",2024,65,"",9143.86
"309",2024,70,"",6087.137
"310",2024,75,"",3385.896
"311",2024,80,"",1752.025
"312",2024,85,"",708.739
"313",2024,90,"",179.483
"314",2024,95,"",30.99
"315",2024,100,"",3.186
"316",2024,0,"",6155.081
"317",2024,5,"",6248.411
"318",2024,10,"",6205.297
"319",2024,15,"",5966.54
"320",2024,20,"",5917.426
"321",2024,25,"",5868.958
"322",2024,30,"",5763.099
"323",2024,35,"",5375.388
"324",2024,40,"",4800.696
"325",2024,45,"",4406.612
"326",2024,50,"",4240.277
"327",2024,55,"",3923.697
"328",2024,60,"",3373.537
"329",2024,65,"",2563.551
"330",2024,70,"",1888.881
"331",2024,75,"",1246.036
"332",2024,80,"",751.941
"333",2024,85,"",397.895
"334",2024,90,"",162.118
"335",2024,95,"",47.258
"336",2024,100,"",9.21
"337",2024,0,"",61496.002
"338",2024,5,"",66854.504
"339",2024,10,"",69655.058
"340",2024,15,"",71023.663
"341",2024,20,"",72968.406
"342",2024,25,"",78171.89
"343",2024,30,"",83875.343
"344",2024,35,"",84598.491
"345",2024,40,"",86482.978
"346",2024,45,"",84842.511
"347",2024,50,"",85821.383
"348",2024,55,"",83061.62
"349",2024,60,"",79137.089
"350",2024,65,"",70593.033
"351",2024,70,"",60730.645
"352",2024,75,"",48324.49
"353",2024,80,"",33901.803
"354",2024,85,"",21197.404
"355",2024,90,"",10051.479
"356",2024,95,"",2890.427
"357",2024,100,"",476.396
"358",2024,0,"",472343.997
"359",2024,5,"",506967.747
"360",2024,10,"",506826.817
"361",2024,15,"",481984.8
"362",2024,20,"",461994.26
"363",2024,25,"",451010.458
"364",2024,30,"",464656.787
"365",2024,35,"",453593.507
"366",2024,40,"",405518.924
"367",2024,45,"",360573.099
"368",2024,50,"",353452.622
"369",2024,55,"",314081.923
"370",2024,60,"",249442.848
"371",2024,65,"",209242.186
"372",2024,70,"",154932.824
"373",2024,75,"",91048.401
"374",2024,80,"",52784.881
"375",2024,85,"",26623.541
"376",2024,90,"",8964.588
"377",2024,95,"",1889.405
"378",2024,100,"",223.417
"379",2024,0,"",136931.161
"380",2024,5,"",171861.711
"381",2024,10,"",174725.213
"382",2024,15,"",164632.309
"383",2024,20,"",159955.906
"384",2024,25,"",167908.312
"385",2024,30,"",195762.313
"386",2024,35,"",202208.344
"387",2024,40,"",180258.685
"388",2024,45,"",166328.856
"389",2024,50,"",185837.923
"390",2024,55,"",172562.565
"391",2024,60,"",132144.91
"392",2024,65,"",118520.814
"393",2024,70,"",92197.897
"394",2024,75,"",54769.257
"395",2024,80,"",32790.43
"396",2024,85,"",17678.837
"397",2024,90,"",6219.678
"398",2024,95,"",1322.677
"399",2024,100,"",152.901
"400",2024,0,"",335412.836
"401",2024,5,"",335106.036
"402",2024,10,"",332101.604
"403",2024,15,"",317352.491
"404",2024,20,"",302038.354
"405",2024,25,"",283102.146
"406",2024,30,"",268894.474
"407",2024,35,"",251385.163
"408",2024,40,"",225260.239
"409",2024,45,"",194244.243
"410",2024,50,"",167614.699
"411",2024,55,"",141519.358
"412",2024,60,"",117297.938
"413",2024,65,"",90721.372
"414",2024,70,"",62734.927
"415",2024,75,"",36279.144
"416",2024,80,"",19994.451
"417",2024,85,"",8944.704
"418",2024,90,"",2744.91
"419",2024,95,"",566.728
"420",2024,100,"",70.516
"421",2024,0,"",118085.068
"422",2024,5,"",104834.173
"423",2024,10,"",94733.088
"424",2024,15,"",83657.805
"425",2024,20,"",71877.886
"426",2024,25,"",60837.675
"427",2024,30,"",50728.987
"428",2024,35,"",42167.21
"429",2024,40,"",34296.313
"430",2024,45,"",27609.184
"431",2024,50,"",22830.269
"432",2024,55,"",18125.443
"433",2024,60,"",13871.705
"434",2024,65,"",10216.672
"435",2024,70,"",6733.899
"436",2024,75,"",4245.503
"437",2024,80,"",2119.965
"438",2024,85,"",771.932
"439",2024,90,"",183.798
"440",2024,95,"",26.698
"441",2024,100,"",2.387
"442",2024,0,"",2304.855
"443",2024,5,"",2664.281
"444",2024,10,"",2856.242
"445",2024,15,"",2855.962
"446",2024,20,"",2438.02
"447",2024,25,"",1993.954
"448",2024,30,"",1926.22
"449",2024,35,"",1944.539
"450",2024,40,"",1906.767
"451",2024,45,"",1808.64
"452",2024,50,"",1656.092
"453",2024,55,"",1505.752
"454",2024,60,"",1294.066
"455",2024,65,"",1032.632
"456",2024,70,"",720.053
"457",2024,75,"",482.019
"458",2024,80,"",278.174
"459",2024,85,"",108.292
"460",2024,90,"",24.534
"461",2024,95,"",2.449
"462",2024,100,"",0.05
